date,account_value
2014-01-24,137288.17091117857
2014-01-27,136916.861253067
2014-01-28,139214.77325187682
2014-01-29,136329.91875968932
2014-01-30,141652.76386875912
2014-01-31,129110.20179600523
2014-02-03,125548.48067924497
2014-02-04,126061.13974775694
2014-02-05,125631.79179774472
2014-02-06,127967.62079328916
2014-02-07,129836.38339079282
2014-02-10,129775.90585173032
2014-02-11,130041.42886235044
2014-02-12,126417.36639286802
2014-02-13,128714.91992070005
2014-02-14,128758.06095066831
2014-02-18,127681.00004841611
2014-02-19,125849.80960643003
2014-02-20,126556.44461619566
2014-02-21,125668.77103221128
2014-02-24,127134.60782420347
2014-02-25,129044.29031932066
2014-02-26,129476.44461619566
2014-02-27,129572.77982353208
2014-02-28,130149.9901811981
2014-03-03,129470.228035202
2014-03-04,130677.38660453794
2014-03-05,133167.20306343076
2014-03-06,133105.4655756378
2014-03-07,133076.0637812042
2014-03-10,132626.24414009092
2014-03-11,132123.50665229795
2014-03-12,132660.03999293517
2014-03-13,132916.68855250548
2014-03-14,133574.53279078673
2014-03-17,133958.03819239806
2014-03-18,135058.3824306793
2014-03-19,133424.0889126129
2014-03-20,132171.27281150816
2014-03-21,129707.65204096983
2014-03-24,127120.50528193662
2014-03-25,127964.20096064756
2014-03-26,124619.04986393735
2014-03-27,123151.52572883604
2014-03-28,123098.06790412901
2014-03-31,122525.56561265561
2014-04-01,124498.32415757749
2014-04-02,124190.0115325775
2014-04-03,121687.67067121885
2014-04-04,118490.7185209503
2014-04-07,116913.48146040342
2014-04-08,119715.79072554014
2014-04-09,121146.94070631407
2014-04-10,116692.50519758604
2014-04-11,115056.67588056944
2014-04-14,116327.39365400694
2014-04-15,116378.92253160094
2014-04-16,118704.20831929015
2014-04-17,119080.59168110655
2014-04-21,120904.34906636046
2014-04-22,120428.17194392394
2014-04-23,118972.98557307433
2014-04-24,122844.22324894712
2014-04-25,112581.66099308775
2014-04-28,110348.66099308775
2014-04-29,111514.97003443907
2014-04-30,112666.22003443907
2014-05-01,113823.9989122467
2014-05-02,113860.95740834044
2014-05-05,114491.00260877989
2014-05-06,110575.97788954161
2014-05-07,109132.94374037169
2014-05-08,107771.75594981383
2014-05-09,108990.5823148651
2014-05-12,112293.40079631041
2014-05-13,112848.46707695007
2014-05-14,110650.89632365416
2014-05-15,109890.30861613463
2014-05-16,110678.15649253843
2014-05-19,110382.99572593687
2014-05-20,111774.01342613218
2014-05-21,112973.49572593687
2014-05-22,112941.68879331968
2014-05-23,115250.63456358336
2014-05-27,114803.33994688414
2014-05-28,114594.46796965026
2014-05-29,115741.69626179503
2014-05-30,115351.78277912902
2014-06-02,114171.69294642638
2014-06-03,113645.03605345152
2014-06-04,113513.52769157408
2014-06-05,118886.33042594908
2014-06-06,120838.33237907408
2014-06-09,120141.42839875793
2014-06-10,121722.12207795714
2014-06-11,122620.50482942199
2014-06-12,119619.49686940001
2014-06-13,119735.7721379547
2014-06-16,120171.82410939025
2014-06-17,119523.49648939513
2014-06-18,122370.17404322814
2014-06-19,119971.67245631407
2014-06-20,119061.67642359923
2014-06-23,120049.66928248595
2014-06-24,119048.67364649962
2014-06-25,120114.6732497711
2014-06-26,119547.34580976867
2014-06-27,119183.02170668029
2014-06-30,119251.26892958068
2014-07-01,121731.80932292173
2014-07-02,121881.7665372772
2014-07-03,123398.70849806211
2014-07-07,122106.05020729064
2014-07-08,118901.25987019346
2014-07-09,120927.90107502745
2014-07-10,120251.07513334655
2014-07-11,126283.47473051451
2014-07-14,129301.84691429137
2014-07-15,129011.08998295592
2014-07-16,129492.8871631317
2014-07-17,128350.58732392882
2014-07-18,130406.09449555968
2014-07-21,130770.19651582335
2014-07-22,131128.39229780578
2014-07-23,130228.93755522155
2014-07-24,130385.54963005065
2014-07-25,118829.15778434752
2014-07-28,117622.83172966001
2014-07-29,117485.48050285337
2014-07-30,118326.33377433775
2014-07-31,115137.127231369
2014-08-01,113150.57968498228
2014-08-04,115364.51139451598
2014-08-05,114917.63590623473
2014-08-06,115446.41605448912
2014-08-07,114621.38133927916
2014-08-08,116434.71161289977
2014-08-11,116954.59439787292
2014-08-12,117291.87314430236
2014-08-13,119671.87090193175
2014-08-14,122048.53210972594
2014-08-15,122192.59671543883
2014-08-18,122501.86098582458
2014-08-19,122708.52856153868
2014-08-20,122933.0913197174
2014-08-21,121940.07300917052
2014-08-22,121483.35047499083
2014-08-25,122326.22634349059
2014-08-26,125043.77147389221
2014-08-27,125513.57359791565
2014-08-28,124413.89232350158
2014-08-29,124072.85912037658
2014-09-02,125238.17880229186
2014-09-03,124058.5570981903
2014-09-04,126484.1113584442
2014-09-05,126634.17880229186
2014-09-08,125224.21582011413
2014-09-09,120830.3070981903
2014-09-10,121382.97264848326
2014-09-11,121099.47350297545
2014-09-12,121334.3176961212
2014-09-15,118772.02198078917
2014-09-16,120133.93637202453
2014-09-17,118806.32516474914
2014-09-18,119160.00116474913
2014-09-19,121397.28375752257
2014-09-22,118983.00116474913
2014-09-23,118673.82839814757
2014-09-24,120303.97998786926
2014-09-25,118061.69221366881
2014-09-26,118517.04984910582
2014-09-29,118022.21549851989
2014-09-30,118243.2319353485
2014-10-01,116465.36801322937
2014-10-02,116805.15492335509
2014-10-03,118359.30169279479
2014-10-06,118164.5868629608
2014-10-07,116279.84422227477
2014-10-08,118350.16768415831
2014-10-09,115689.04878053283
2014-10-10,114244.31587037658
2014-10-13,112445.84359169005
2014-10-14,113124.43179499816
2014-10-15,112270.33313166809
2014-10-16,111131.7613535614
2014-10-17,111417.25207621764
2014-10-20,112357.86358744811
2014-10-21,115695.78180033874
2014-10-22,114832.02716166686
2014-10-23,114908.88403422546
2014-10-24,105348.96582133483
2014-10-27,106414.02716166686
2014-10-28,108470.94537455749
2014-10-29,107932.92492778014
2014-10-30,109744.62939555358
2014-10-31,112083.36358744811
2014-11-03,112178.52716166686
2014-11-04,111113.46582133483
2014-11-05,108811.32269389342
2014-11-06,108855.25207621764
2014-11-07,110033.7613535614
2014-11-10,111955.2613535614
2014-11-11,114480.67028910827
2014-11-12,114297.67028910827
2014-11-13,116116.69073588561
2014-11-14,120267.12939555358
2014-11-17,118521.30224711608
2014-11-18,119209.38403422546
2014-11-19,119798.64984233092
2014-11-20,121262.64984233092
2014-11-21,122027.5885019989
2014-11-24,123129.25207621764
2014-11-25,122909.64984233092
2014-11-26,122371.62939555358
2014-11-28,124227.25207621764
2014-12-01,119601.00671488952
2014-12-02,119714.46582133483
2014-12-03,116124.00671488952
2014-12-04,116280.63754154967
2014-12-05,114711.14199711608
2014-12-08,112524.7955615692
2014-12-09,114669.24356022643
2014-12-10,112231.6822198944
2014-12-11,112787.9981988983
2014-12-12,112773.3662408905
2014-12-15,112315.8662408905
2014-12-16,108286.20266667174
2014-12-17,109684.3253473358
2014-12-18,109263.42758122252
2014-12-19,110057.64132633971
2014-12-22,112487.88668766784
2014-12-23,112396.38668766784
2014-12-24,111203.22311344909
2014-12-26,113421.1822198944
2014-12-29,114500.88668766784
2014-12-30,113864.039092453
2014-12-31,113882.34579411315
2015-01-02,113212.55953923034
2015-01-05,110895.78445378112
2015-01-06,108370.38668766784
2015-01-07,109515.96847477721
2015-01-08,110262.60043278502
2015-01-09,108970.62087956237
2015-01-12,106950.30490055846
2015-01-13,108172.11856257629
2015-01-14,107632.62811457824
2015-01-15,105313.19662654113
2015-01-16,106704.11856257629
2015-01-20,106227.02304255676
2015-01-21,109093.29214656066
2015-01-22,113889.98483454894
2015-01-23,114649.67752253723
2015-01-26,113647.7634905548
2015-01-27,112579.79214656066
2015-01-28,111540.04673689269
2015-01-29,114428.03103489683
2015-01-30,130117.28103489683
2015-02-02,133765.26193089294
2015-02-03,133427.61700291443
2015-02-04,133868.0214828949
2015-02-05,137222.40685887146
2015-02-06,137365.53103489685
2015-02-09,136000.2905868988
2015-02-10,136895.7714828949
2015-02-11,137681.15685887146
2015-02-12,138426.1664108734
2015-02-13,140136.37655491638
2015-02-17,137787.5787949066
2015-02-18,137031.5596909027
2015-02-19,139097.7714828949
2015-02-20,140807.99282688904
2015-02-23,139516.15685887146
2015-02-24,138947.30013890075
2015-02-25,141435.5596909027
2015-02-26,141226.36700291443
2015-02-27,139523.49282688904
2015-03-02,141541.99282688904
2015-03-03,141156.63610691833
